"Indicator Code","Country or Area Code","Country or Area","Time Code","Year","Value","Value Footnotes"
"IS.AIR.PSGR","CHN","China","2017","2017","551234509","1"
"IS.AIR.PSGR","CHN","China","2016","2016","487960477","1"
"IS.AIR.PSGR","CHN","China","2015","2015","436183969","1"
"IS.AIR.PSGR","CHN","China","2014","2014","390878784","1"
"IS.AIR.PSGR","CHN","China","2013","2013","352795296","1"
"IS.AIR.PSGR","CHN","China","2012","2012","318475924","1"
"IS.AIR.PSGR","CHN","China","2011","2011","292160158","1"
"IS.AIR.PSGR","CHN","China","2010","2010","266293020","1"
"IS.AIR.PSGR","CHN","China","2009","2009","229062099","1"
"IS.AIR.PSGR","CHN","China","2008","2008","191001220","1"
"IS.AIR.PSGR","CHN","China","2007","2007","183613132","1"
"IS.AIR.PSGR","CHN","China","2006","2006","158013351","1"
"IS.AIR.PSGR","CHN","China","2005","2005","136721623","1"
"IS.AIR.PSGR","CHN","China","2004","2004","119789024","1"
"IS.AIR.PSGR","CHN","China","2003","2003","86040642","1"
"IS.AIR.PSGR","CHN","China","2002","2002","83671798","1"
"IS.AIR.PSGR","CHN","China","2001","2001","72660653","1"
"IS.AIR.PSGR","CHN","China","2000","2000","61891807","1"
"IS.AIR.PSGR","CHN","China","1999","1999","55853100","1"
"IS.AIR.PSGR","CHN","China","1998","1998","53234000","1"
"IS.AIR.PSGR","CHN","China","1997","1997","52277000","1"
"IS.AIR.PSGR","CHN","China","1996","1996","51770100","1"
"IS.AIR.PSGR","CHN","China","1995","1995","47564500","1"
"IS.AIR.PSGR","CHN","China","1994","1994","37601000","1"
"IS.AIR.PSGR","CHN","China","1993","1993","31312500","1"
"IS.AIR.PSGR","CHN","China","1992","1992","27345000","1"
"IS.AIR.PSGR","CHN","China","1991","1991","19520000","1"
"IS.AIR.PSGR","CHN","China","1990","1990","16596100","1"
"IS.AIR.PSGR","CHN","China","1989","1989","11080000","1"
"IS.AIR.PSGR","CHN","China","1988","1988","17000000","1"
"IS.AIR.PSGR","CHN","China","1987","1987","12500000","1"
"IS.AIR.PSGR","CHN","China","1986","1986","10000000","1"
"IS.AIR.PSGR","CHN","China","1985","1985","7300000","1"
"IS.AIR.PSGR","CHN","China","1984","1984","5000000","1"
"IS.AIR.PSGR","CHN","China","1983","1983","3836000","1"
"IS.AIR.PSGR","CHN","China","1982","1982","3942000","1"
"IS.AIR.PSGR","CHN","China","1981","1981","3236000","1"
"IS.AIR.PSGR","CHN","China","1980","1980","2568000","1"
"IS.AIR.PSGR","CHN","China","1979","1979","2519000","1"
"IS.AIR.PSGR","CHN","China","1978","1978","1540000","1"
"IS.AIR.PSGR","CHN","China","1977","1977","1110000","1"
"IS.AIR.PSGR","CHN","China","1976","1976","1050000","1"
"IS.AIR.PSGR","CHN","China","1975","1975","1000000","1"
"IS.AIR.PSGR","CHN","China","1974","1974","710000","1"

"footnoteSeqID","Footnote"
"1","For statistical purposes,  the data for China exclude the traffic for the Hong Kong and Macao Special Administrative Regions (Hong Kong SAR and Macao SAR)."
