"Indicator Code","Country or Area Code","Country or Area","Time Code","Year","Value","Value Footnotes"
"IS.AIR.PSGR","JPN","Japan","2017","2017","123898000",""
"IS.AIR.PSGR","JPN","Japan","2016","2016","117708000",""
"IS.AIR.PSGR","JPN","Japan","2015","2015","114128000",""
"IS.AIR.PSGR","JPN","Japan","2014","2014","110547000",""
"IS.AIR.PSGR","JPN","Japan","2013","2013","107573000",""
"IS.AIR.PSGR","JPN","Japan","2012","2012","98907859",""
"IS.AIR.PSGR","JPN","Japan","2011","2011","89788818",""
"IS.AIR.PSGR","JPN","Japan","2010","2010","109617020.965748",""
"IS.AIR.PSGR","JPN","Japan","2009","2009","86896527",""
"IS.AIR.PSGR","JPN","Japan","2008","2008","97022471",""
"IS.AIR.PSGR","JPN","Japan","2007","2007","99842338",""
"IS.AIR.PSGR","JPN","Japan","2006","2006","102845319",""
"IS.AIR.PSGR","JPN","Japan","2005","2005","102279015",""
"IS.AIR.PSGR","JPN","Japan","2004","2004","101740600",""
"IS.AIR.PSGR","JPN","Japan","2003","2003","103988547",""
"IS.AIR.PSGR","JPN","Japan","2002","2002","109037841",""
"IS.AIR.PSGR","JPN","Japan","2001","2001","107823469",""
"IS.AIR.PSGR","JPN","Japan","2000","2000","109123312",""
"IS.AIR.PSGR","JPN","Japan","1999","1999","105994496",""
"IS.AIR.PSGR","JPN","Japan","1998","1998","101701200",""
"IS.AIR.PSGR","JPN","Japan","1997","1997","94997600",""
"IS.AIR.PSGR","JPN","Japan","1996","1996","95913504",""
"IS.AIR.PSGR","JPN","Japan","1995","1995","91797000",""
"IS.AIR.PSGR","JPN","Japan","1994","1994","83913504",""
"IS.AIR.PSGR","JPN","Japan","1993","1993","80063904",""
"IS.AIR.PSGR","JPN","Japan","1992","1992","81378400",""
"IS.AIR.PSGR","JPN","Japan","1991","1991","78719800",""
"IS.AIR.PSGR","JPN","Japan","1990","1990","76223800",""
"IS.AIR.PSGR","JPN","Japan","1989","1989","69321696",""
"IS.AIR.PSGR","JPN","Japan","1988","1988","62087500",""
"IS.AIR.PSGR","JPN","Japan","1987","1987","57757700",""
"IS.AIR.PSGR","JPN","Japan","1986","1986","52489800",""
"IS.AIR.PSGR","JPN","Japan","1985","1985","51294700",""
"IS.AIR.PSGR","JPN","Japan","1984","1984","50452800",""
"IS.AIR.PSGR","JPN","Japan","1983","1983","46554000",""
"IS.AIR.PSGR","JPN","Japan","1982","1982","46394200",""
"IS.AIR.PSGR","JPN","Japan","1981","1981","48061200",""
"IS.AIR.PSGR","JPN","Japan","1980","1980","45144500",""
"IS.AIR.PSGR","JPN","Japan","1979","1979","45367800",""
"IS.AIR.PSGR","JPN","Japan","1978","1978","40554700",""
"IS.AIR.PSGR","JPN","Japan","1977","1977","36177400",""
"IS.AIR.PSGR","JPN","Japan","1976","1976","29566000",""
"IS.AIR.PSGR","JPN","Japan","1975","1975","27281400",""
"IS.AIR.PSGR","JPN","Japan","1974","1974","27485700",""
"IS.AIR.PSGR","JPN","Japan","1973","1973","25393100",""
"IS.AIR.PSGR","JPN","Japan","1972","1972","20169500",""
"IS.AIR.PSGR","JPN","Japan","1971","1971","17880500",""
"IS.AIR.PSGR","JPN","Japan","1970","1970","16315100",""

